Date Reported,Date Occurred,Time Occurred,Incident Type,Location,Incident/Case#,Summary,Disposition,Timestamp,Price Category,Latitude,Longitude
4/22/2024,4/17/2024,1:00 AM‐9:00 AM,Petty Theft,Seventh College,2024‐0805,"Secured bicycle stolen, loss $250.00",Online Report,2024-04-17 09:00:00,Medium,32.8879708,-117.2421264
4/23/2024,4/23/2024,2:24 PM,Petty Theft,Neighborhood ‐ Coast Apartments,2404230047,Reporting party tracking bicycle to Sports Arena area,Referred to Other Agency ‐ San Diego Police Department,2024-04-23 14:24:00,Medium,32.8697562,-117.2474028
4/25/2024,4/25/2024,9:50 AM,Petty Theft ‐ Micro Mobility Device,9515 Gilman Drive ‐ Bike Rack,2404250031,"Secured electric scooter stolen, loss $275.00",Report Taken,2024-04-25 09:50:00,Medium,32.8755876,-117.2355243
4/25/2024,4/25/2024,12:36 PM,Petty Theft,"1 Miramar Street Complex, Between Building #1 & #2",T24000124,"Secured bicycle stolen, Loss $65.00",Online Report,2024-04-25 12:36:00,Low,32.8737372,-117.2268607
4/26/2024,3/22/2024 ‐ 4/1/2024,Unknown,Petty Theft,Latin America Hall & North America Hall,2404260030,"Victim's bicycle stolen, loss $200.00",Information Only,2024-04-01 00:00:00,Medium,,
4/26/2024,4/26/2024,3:00 PM‐5:00 PM,Petty Theft,Applied Physics and Mathematics,2024‐0847,"Secured electric scooter stolen, loss $280.00",Online Report,2024-04-26 17:00:00,Medium,32.8795424,-117.2411535
4/26/2024,4/26/2024,1:10 PM‐6:57 PM,Petty Theft,Argo Hall,2024‐0833,"Unknown suspect(s) stole victim's cell phone holder off his bicycle, loss $50.99",Report Taken,2024-04-26 18:57:00,Low,32.8745162,-117.2416218
4/27/2024,4/26/2024 ‐ 4/27/2024,5:10 PM ‐ 5:10 PM,Petty Theft ‐ Micro Mobility Device,Gilman Drive,2024‐0850,"Secured electric scooter stolen, loss $250.00",Online Report,2024-04-27 17:10:00,Medium,32.8648237,-117.2364128
4/28/2024,4/28/2024,9:00 AM ‐ 5:00 PM,Petty Theft,Warren Lecture Hall,2024‐0846,"Secured bicycle stolen, loss $500.00",Report Taken,2024-04-28 17:00:00,Medium,32.8805918,-117.2344208
4/28/2024,4/28/2024,7:02 PM,Petty Theft of Micro Mobility Device,Main GYM,2404280037,"Stolen electric scooter, will call back to make report",Information Only,2024-04-28 19:02:00,Medium,,
4/29/2024,4/23/2024 ‐ 4/24/2024,8:00 PM ‐ 12:00 PM,Petty Theft,"One Miramar Street, Building 1",2024‐0854,"Secured bicycle stolen, loss $900.00",Report Taken,2024-04-24 20:00:00,Expensive,32.8737372,-117.2268607
4/29/2024,4/29/2024,5:00 PM ‐ 6:25 PM,Petty Theft ‐ Micro Mobility Device,Cater Hall,2024‐0858,"Secured electric scooter stolen, loss $520.00",Report Taken,2024-04-29 18:25:00,Expensive,,
4/29/2024,4/29/2024,6:20 AM ‐ 10:24 PM,Petty Theft ‐ Micro Mobility Device,Peterson Hall,2024‐0860,"Secured electric bicycle stolen, loss $500.00",Report Taken,2024-04-29 22:24:00,Medium,32.8799725,-117.2403292
4/29/2024,4/29/2024,8:30 PM ‐ 9:10 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2024‐0871,"Secured electric scooter stolen, loss $250.00",Online Report,2024-04-29 21:10:00,Medium,32.881092,-117.2375659
4/29/2024,4/29/2024,1:30 PM ‐ 11:00 PM,Petty Theft,Trolley ‐ Central Campus Station,2024‐0880,"Secured electric scooter stolen, loss $479.00",Online Report,2024-04-29 23:00:00,Medium,32.878353,-117.231842
4/30/2024,4/29/2024,4:22 PM ‐ 7:33 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2024‐0881,"Secured electric scooter stolen, loss $500.00",Online Report,2024-04-29 19:33:00,Medium,32.881092,-117.2375659
4/30/2024,4/29/2024,6:25 PM ‐ 10:30 PM,Petty Theft ‐ Micro Mobility,Geisel Library,2024‐0882,"Secured electric scooter stolen, loss $800.00",Report Taken,2024-04-29 22:30:00,Expensive,32.881092,-117.2375659
4/30/2024,4/30/2024,3:28 PM,Petty Theft,Scholars Drive North,2404300042,"Stolen bicycle, victim will file report online",Service Provided,2024-04-30 15:28:00,Medium,32.8842874,-117.2424066
4/30/2024,4/30/2024,8:15 PM 10:00 PM,Petty Theft,Trolley ‐ Central Campus Station,2024‐0883,"Secured electric scooter stolen, loss $750.00",Online Report,2024-04-30 00:00:00,Expensive,32.878353,-117.231842
05-02-2024,5/1/2024 - 5/2/2024,11:30 AM - 11:30 AM,Petty Theft,Gilman Drive,2024-0903,"Secured bicycle stolen, loss $200.00",Online Report,2024-05-02 11:30:00,Medium,32.8648237,-117.2364128
05-02-2024,5/1/2024 - 5/2/2024,6:00 PM - 12:30 PM,Petty Theft - Micro Mobility Device/ Vandalism,Seventh College,2024-0884,"Secured electric bicycle stolen and lock damaged, loss $410.00",Report Taken,2024-05-02 18:00:00,Medium,32.8879708,-117.2421264
05-04-2024,05-04-2024,5:00 AM - 12:00 PM,Petty Theft - Micro Mobility Device,Matthews Apartments,2024-0908,"Secured electric scooter stolen, loss $800.00",Report Taken,2024-05-04 12:00:00,Expensive,32.878646,-117.2310505
05-07-2024,05-01-2024,9:00 AM-5:00 PM,Petty Theft - Micro Mobility Device,Preuss School,2024-0985,Unsecured electric scooter stolen; loss $450.00,Report Taken,2024-05-01 17:00:00,Medium,32.8826135,-117.2220548
05-07-2024,05/05/24 - 5/07/24,4:00 PM-8:00 AM,Petty Theft - Micro Mobility Device,9330 Eucalyptus Lane,2024-0989,"Secured electric scooter stolen, loss $900.00",Report Taken,2024-05-07 16:00:00,Expensive,32.8770573,-117.2399695
05-08-2024,4/29/24 - 4/30/24,8:15 PM-3:15 AM,Petty Theft,Pepper Canyon Hall,2024-1032,"Secured electric scooter stolen, loss $537.00",Online Report,2024-04-30 20:15:00,Expensive,32.8783769,-117.2337607
05-08-2024,05-06-2024,2:00PM-5:00PM,Petty Theft,Piedra Apartments,2024-0992,"Secured bicycle stolen, loss 800.00",Report Taken,2024-05-06 17:00:00,Medium,,
05-08-2024,05-08-2024,9:00 AM-1:00 PM,Petty Theft,Jacobs Medical Center,2024-0993,"Secured bicycle stolen, loss $400.00",Online Report,2024-05-08 13:00:00,Medium,32.8777169,-117.2262295
05-08-2024,05-08-2024,3:00 PM-6:25 PM,Petty Theft - Micro Mobility Device,Trolley - Central Campus,2024-0995,Secured electric scooter; loss 600.00,Report Taken,2024-05-08 18:25:00,Medium,,
05-08-2024,05-08-2024,3:30 PM - 6:30 PM,Petty Theft,Geisel Library,2024-0996,"Secured electric scooter stolen, loss $700.00",Report Taken,2024-05-08 18:30:00,Expensive,32.881092,-117.2375659
05-09-2024,5/08/2024 - 5/09/2024,10:00 PM-4:00 PM,Grand Theft - Micro Mobility Device,Seventh College East,2024-1002,"Secured electric scooter stolen, loss $2,000.00",Report Taken,2024-05-09 22:00:00,Medium,32.8886055,-117.2422681
05-09-2024,05-09-2024,7:15 PM-8:15 PM,Petty Theft - Micro Mobility Device,Peterson Hall,2024-1004,"Secured electric scooter stolen, loss $470.00",Report Taken,2024-05-09 20:15:00,Medium,32.8799725,-117.2403292
05-10-2024,4/21/2024 - 4/22/2024,7:00 PM-9:00 AM,Petty Theft,Library Walk,2024-1007,"Secured bicycle stolen, loss $200.00",Report Taken,2024-04-22 19:00:00,Medium,32.8787741,-117.2375612
05-10-2024,05-10-2024,8:51 PM,Petty Theft,Parking Lot P701,2405100052,Reporting party seen subject trying to steal a bike,Unable to Locate,2024-05-10 20:51:00,Low,32.8811379,-117.2273757
05-12-2024,05-12-2024,3:45 PM - 6:45 PM,Petty Theft,Trolley - Central Campus Station,2024-1030,"Secured bicycle stolen, loss $700.00",Online Report,2024-05-12 18:45:00,Expensive,32.878353,-117.231842
5/14/2024,5/14/2024,6:30 PM -7:50 PM,Petty Theft - Micro Mobility Device,Pepper Canyon Hall,2024-1038,"Electric scooter stolen from outside lecture hall, loss $400.00",Online Report,2024-05-14 19:50:00,Medium,32.8783769,-117.2337607
5/14/2024,05/09/2024 - 05/14/2024,10:10 PM,Grand Theft,Europe Hall,2024-1042,"Bicycle stolen from common area, loss $2000.00",Report Taken,2024-05-14 22:10:00,Expensive,32.8854422,-117.2434779
5/15/2024,5/15/2024,4:00 PM ‐ 7:03 PM,Grand Theft ‐ Micro Mobility Device,Trolley‐ Central Campus Station,2024‐1048,"Secured electric bike stolen, loss $1000.00",Report Taken,2024-05-15 19:03:00,Expensive,32.878353,-117.231842
5/17/2024,5/17/2024,2:00 PM ‐ 2:50 PM,Petty Theft ‐ Micro Mobility Device,Pepper Canyon Hall,2024‐1057,"Secured electric scooter stolen, loss $250.00",Report Taken,2024-05-17 14:50:00,Medium,32.8783769,-117.2337607
5/17/2024,Unknown,Unknown,Petty Theft ‐ Micro Mobility Device,UC San Diego Campus,2405170048,"Per San Diego Police, parent's son got scooter stolen and tracked to Old Town",Information Only,,Medium,32.881168,-117.2343605
5/17/2024,5/17/2024,4:00 PM ‐ 5:20 PM,Petty Theft,Applied Physics and Mathematics,2024‐1060,"Secured bicycle stolen, loss is $400.00",Report Taken,2024-05-17 17:20:00,Medium,32.8795424,-117.2411535
5/18/2024,5/18/2024,1:40 PM,Petty Theft ‐ Micro Mobility Device,Beagle Hall,2024‐1067,"Electric scooter stolen, loss $800.00",Report Taken,2024-05-18 13:40:00,Expensive,32.874122,-117.2426029
5/18/2024,5/18/2024,4:00 PM ‐ 6:05 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2024‐1068,"Electric scooter stolen, loss $450.00",Report Taken,2024-05-18 18:05:00,Medium,32.878353,-117.231842
5/19/2024,5/17/2024 ‐ 5/19/2024,1:00 PM‐3:00 PM,Petty Theft,York Hall,2024‐1071,"Secured bicycle stolen, loss $270.00",Report Taken,2024-05-19 15:00:00,Medium,32.8745478,-117.2400077
5/19/2024,5/19/2024,5:00PM‐9:00PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2024‐1072,"Secured electric scooter stolen, loss $450.00",Report Taken,2024-05-19 21:00:00,Medium,32.878353,-117.231842
5/19/2024,5/19/2024,11:00 AM ‐ 10:00 PM,Petty Theft,Franklin Antonio Hall,2024‐1075,"Secured bicycle stolen, loss $175.00",Report Taken,2024-05-19 22:00:00,Medium,32.8835013,-117.2349145
5/20/2024,5/18/2024‐5/19/2024,10:00 PM‐9:00 AM,Grand Theft,Mesa Apartments ‐ South,2024‐1081,"Secured electric bicycle stolen, loss $2,000",Report Taken,2024-05-19 22:00:00,Medium,,
5/21/2024,5/17/2024 ‐ 5/18/2024,6:00 PM ‐ 10:00 AM,Petty Theft,Cala,2024‐1084,"Unknown suspect(s) forcefully removed battery from victim's electric bicycle, loss $300.00",Report Taken,2024-05-18 18:00:00,Medium,,
5/21/2024,5/21/2024,11:00 AM‐3:10 M,Petty Theft,Center Hall ‐ Outside Bike Rack,2024‐1088,"Secured electric Scooter taken, loss $600.00",Report Taken,2024-05-21 11:00:00,Expensive,32.8778021,-117.2372517
5/21/2024,5/21/2024,5:00PM ‐ 6:20PM,Petty Theft,Center Hall,2024‐1090,"Theft of an electric scooter, loss $500.00",Report Taken,2024-05-21 18:20:00,Medium,32.8775468,-117.2374084
5/22/2024,5/21/2024,5:00 AM ‐ 2:10 PM,Petty Theft ‐ Micro Mobility Device,Halicioglu Data Science Institute,2024‐1092,"Secured electric bike stolen, loss $350.00",Report Taken,2024-05-21 14:10:00,Medium,32.8805631,-117.2338242
5/22/2024,5/22/2024,5:05 PM ‐ 5:50 PM,Petty Theft ‐ Micro Mobility Device,Pepper Canyon Hall,2024‐1106,"Secured electric scooter stolen, loss $350.00",Report Taken,2024-05-22 17:50:00,Medium,32.8783769,-117.2337607
5/23/2024,5/21/2024,1:00 PM ‐ 3:00 PM,Petty Theft ‐ Micro Mobility Device,RIMAC,2024‐1107,"Secured electric scooter stolen, loss $400.00",Online Report Filed,2024-05-21 15:00:00,Medium,32.8851041,-117.2404977
5/23/2024,05/22/2024 ‐ 05/23/2024,9:00 PM ‐ 2:40 AM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2024‐1108,"Secured electric bicycle stolen, loss $369.00",Online Report Filed,2024-05-23 21:00:00,Medium,32.881092,-117.2375659
5/23/2024,5/23/2024,12:00 PM ‐ 4:30 PM,Grand Theft ‐ Micro Mobility Device,Kaleidoscope,2024‐1100,"Unsecured electric bicycle stolen, loss $2,000.00",Report Taken,2024-05-23 16:30:00,Medium,,
5/22/2024,5/23/2024,12:30 PM ‐ 6:30 PM,Petty Theft ‐ Micro Mobility Device,Ridge walk Academic Complex,2024‐1110,"Unsecured electric scooter stolen, loss $479.00",Online Report Filed,2024-05-23 18:30:00,Medium,32.8803878,-117.2410734
5/24/2024,05/15/204 ‐ 05/23/2024,3:00 PM ‐ 11:55 PM,Petty Theft,Computer Science & Engineering Building,2024‐1112,"Secured bicycle stolen, loss $300.00",Online Report Filed,2024-05-23 23:55:00,Medium,,
5/27/2024,5/26/2024 ‐ 5/27/2024,11:00 PM ‐ 4:00 PM,Petty Theft ‐ Micro Mobility Device,Hopkins Drive,2024‐1130,"Secured electric scooter stolen, loss $300.00",Report Taken,2024-05-27 23:00:00,Medium,32.8862472,-117.2386908
5/28/2024,05/25/2024 ‐ 05/28/2024,4:10 PM,Petty Theft,Douglas Hall ‐ Bike Rack,T24000157,"Theft of of bicycle part, loss $700.00",Report Taken,2024-05-28 16:10:00,Expensive,,
5/29/2024,05/28/2024 ‐ 05/28/2024,9:30 AM ‐ 10:50 AM,Petty Theft ‐ Micro Mobility Device,Center Hall,2024‐1145,"Unsecured electric scooter stolen, loss $350.00",Report Taken,2024-05-28 10:50:00,Medium,32.8775468,-117.2374084
5/30/2024,5/30/2024,8:40 AM,Petty Theft ‐ Micro Mobility Device,Brisa ‐ 4th Floor,T2400159,"Secured electric scooter stolen, loss $700.00",Online Report Field,2024-05-30 08:40:00,Expensive,,
5/30/2024,5/30/2024,12:35 PM ‐ 1:55 PM,Petty Theft,DIB Makerspace/ Lyman Lane,T24000161,"Victim's unsecured Razor scooter and helmet stolen, loss $80.00",Online Report Field,2024-05-30 13:55:00,Low,32.8794117,-117.2322377
5/31/2024,5/31/2024,12:30 PM ‐ 1:50PM,Petty Theft,RIMAC West Side,T24000162,"Theft of Trek 10 speed bike, loss is $150.00",Report Taken,2024-05-31 13:50:00,Medium,,
5/31/2024,5/31/2024,12:00 PM ‐ 5:00 PM,Petty Theft,Target Bike Racks,T2400163,"Theft of a bike, loss is $138.16.",Report Taken,2024-05-31 17:00:00,Medium,,
06-01-2024,06-01-2024,9:25 AM,Petty Theft,Miramar Street,2024‐1165,Between building 1 and 2 bike racks and multiple bikes stolen,Report Taken,2024-06-01 09:25:00,Low,32.8735076,-117.2238704
06-01-2024,06-01-2024,12:52 PM,Grand Theft,Miramar Street,2406010037,"Unknown suspect took a bicycle without owners permission, loss $1000",Report Taken,2024-06-01 12:52:00,Expensive,32.8735076,-117.2238704
06-01-2024,06-01-2024,2:31 PM,Petty Theft,Miramar Street,2024‐1169,"Unknown suspect stole bicycle, loss $73.00",Report Taken,2024-06-01 14:31:00,Low,32.8735076,-117.2238704
06-01-2024,5/31/24‐6/1/24,7:30PM‐9:30AM,Petty Theft,Miramar Street,T24000164,"Bicycle wheel stolen from secured bicycle, Loss $200",Online Report,2024-06-01 19:30:00,Medium,32.8735076,-117.2238704
06-02-2024,06-02-2024,2:37 AM ‐ 4:14 AM,Petty Theft/ Obstruct Peace Officer/ Possess Burglary Tools,Argo Hall,2024‐1172,Subject led officers in short foot pursuit after trying to steal a bicycle,Disposition Closed by Adult Citation,2024-06-02 04:14:00,Medium,32.8745162,-117.2416218
06-02-2024,06-02-2024,12:00 PM ‐ 7:00 PM,Grand Theft,Jacobs Hall,2024‐1175,"Secured bicycle stolen, loss $1,000.00",Report Taken,2024-06-02 19:00:00,Medium,32.8816988,-117.2352306
06-03-2024,06-03-2024,6:00 PM ‐ 8:20 PM,Petty Theft,Starbucks,2024‐1182,"Micro mobility device taken from the bike racks west of the Starbucks , loss is $600.00",Report Taken,2024-06-03 20:20:00,Expensive,,
06-04-2024,06-04-2024,3:30 PM ‐ 4:50 PM,Petty Theft ‐ Micro Mobility Device,Humanities &Social Sciences,2024‐1196,"Secured electric scooter stolen, loss $350.00",Report Taken,2024-06-04 16:50:00,Medium,,
06-04-2024,5/29/2024,4:30 PM,Petty Theft ‐ Micro Mobility Device,York Hall,2024‐1197,"Secured electric scooter stolen, loss $500.00",Online Report Field,2024-05-29 16:30:00,Medium,32.8745478,-117.2400077
06-05-2024,06-05-2024,7:30 AM ‐ 10:30 AM,Petty Theft,Parking Lot P703,2024‐1198,"Secured bicycle stolen, loss $420.00",Report Taken,2024-06-05 10:30:00,Medium,32.8800007,-117.2205947
06-05-2024,5/29/2024,2:10 PM ‐ 2:45 PM,Petty Theft ‐ Micro Mobility Device,Peterson Hall,2024‐1203,"Unsecured electric scooter stolen, loss $399.00",Online Report Field,2024-05-29 14:45:00,Medium,32.8799725,-117.2403292
06-05-2005,6/4/2024 ‐ 6/7/2024,5:00 PM ‐ 12:00 PM,Petty Theft,La Jolla Del Sol Apartments,2024‐1213,"Stolen bicycle, loss $125.00",Report Taken,2024-06-07 17:00:00,Medium,32.8655512,-117.2230338
06-07-2024,06-07-2024,3:00 PM ‐ 4:00 PM,Petty Theft ‐ Micro Mobility Device,Physics and Mathematics Building,2024‐1218,"Secured electric scooter stolen, loss $550.00",Online Report Filed,2024-06-07 16:00:00,Expensive,,
06-08-2024,06-08-2024,8:00 AM ‐ 10:00 AM,Grand Theft ‐ Micro Mobility Device,Center Hall,2024‐1219,"Secured electric scooter and electric scooter stolen, total loss $2,300.00",Report Taken,2024-06-08 10:00:00,Medium,32.8775468,-117.2374084
06-08-2024,6/4/2024 ‐ 6/8/2024,12:00 AM ‐ 12:00 PM,Petty Theft of Micro Mobility Device,Galathea Hall,2024‐1234,"Secured electric bicycle stolen, loss $650.00",Online Report Filed,2024-06-08 12:00:00,Expensive,32.8738934,-117.2416565
06-09-2024,06-08-2024,5:00 PM ‐ 11:50 PM,Petty Theft ‐ Micro Mobility Device,Design and Innovation Building,2024‐1235,"Secured electric scooter stolen, loss $451.00",Online Report Filed,2024-06-08 23:50:00,Medium,32.8794117,-117.2322377
06-10-2024,06-10-2024,7:00 PM ‐ 10:00 PM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2024‐1232,"Secured electric bicycle stolen, loss $300.00",Report Taken,2024-06-10 22:00:00,Medium,32.881092,-117.2375659
06-10-2024,06-10-2024,1:15 PM ‐ 6:00 PM,Petty Theft ‐ Micro Mobility Device,RWAC,T24000170,"Secured electric scooter stolen, loss $300.00",Online Report Filed,2024-06-10 18:00:00,Medium,32.8803878,-117.2410734
06-10-2024,06-10-2024,2:00 PM ‐ 3:00 PM,Petty Theft ‐ Micro Mobility Device,Sixth Market,2024‐1237,"Secured electric scooter stolen, loss $440.00",Report Taken,2024-06-10 15:00:00,Medium,32.8800917,-117.2422501
06-10-2024,06-10-2024,9:05 AM ‐ 9:08 AM,Grand Theft,Parking Lot P418,2024‐1247,"Subject contacted for stealing a bicycle, recovered amount $4,000.00",Report Taken,2024-06-10 09:08:00,Medium,,
06-10-2024,06-10-2024,6:45 PM ‐ 10:30 PM,Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,2024‐1239,"Secured electric scooter stolen, loss $750.00",Report Taken,2024-06-10 22:30:00,Expensive,32.878353,-117.231842
06-11-2024,6/9/2024 ‐ 6/10/2024,10:00 PM ‐ 4:00 AM,Petty Theft ‐ Micro Mobility Device,Geisel Library,2024‐1242,"Secured e‐scooter stolen, loss $700.00",Report Taken,2024-06-10 22:00:00,Expensive,32.881092,-117.2375659
06-11-2024,06-11-2024,11:15 ‐ 1:00 pm,Petty Theft ‐ Micro Mobility Device,York Hall ‐ Bike Station,2024‐1243,"Secured electric scooter stolen, loss $529.00",Report Taken,2024-06-11 13:00:00,Expensive,32.8745478,-117.2400077
06-11-2024,06/07/2024 ‐ 06/07/2024,2:00 PM ‐ 6:00 PM,Petty Theft‐ Micro Mobility Device,Mesa Apartments,2024‐1246,"Unsecured electric scooter stolen from outside victim's apartment, loss $399.00",Report Taken,2024-06-07 18:00:00,Medium,32.87382780000001,-117.2215649
06-11-2024,06/10/2024 ‐ 06/11/2024,12:00 PM ‐ 7:40 AM,Petty Theft,Nuevo East,T24000171,"Secured bicycle stolen, loss $350.00",Report Taken,2024-06-11 12:00:00,Medium,32.8746042,-117.2186842
06-12-2024,05/08/2024 ‐ 05/09/2024,6:00 PM ‐ 10:00 AM,Petty Theft ‐ Micro Mobility Device,Africa Hall,2024‐1255,Theft of an unsecured e‐scooter; Loss $500.00,Report Taken,2024-05-09 18:00:00,Medium,32.886143,-117.2434803
06-12-2024,06-12-2024,6:15 PM ‐ 7:15 PM,Petty Theft‐ Micro Mobility Device,Main Gymnasium,2024‐1257,"Theft a secured electric bike taken, loss $600.00",Report Taken,2024-06-12 19:15:00,Expensive,32.8771494,-117.2412479
6/13/2024,6/13/2024,3:00 PM ‐ 5:00 PM,Petty Theft‐ Micro Mobility Device,Gilman Drive,2024‐1268,Theft of Segway Ninebot scooter; Loss $600.00,Online Report Taken,2024-06-13 17:00:00,Expensive,32.8648237,-117.2364128
6/13/2024,6/13/2024,1:00 PM ‐ 6:00 PM,Petty Theft‐ Micro Mobility Device,Revelle Plaza,2024‐1269,"Petty theft of as secured electric foldable mountain bike, Loss $850.00",Online Report Taken,2024-06-13 18:00:00,Expensive,32.8746881,-117.2409723
6/19/2024,06/18/2024 ‐ 06/16/2024,6:00 PM ‐ 10:00 AM,Petty Theft,UCSD Central Campus Station Bike Barn,2024‐1298,Secured bike taken from the bike barn area and recovered on the next day,Report Taken,2024-06-18 18:00:00,Low,32.878353,-117.231842
6/26/2024,06/04/2024 - 06/05/2024,10:00 AM - 12:30 AM,Petty Theft,Structural & Material Engineering Building,2024-1334,"Secured bicycle stolen, loss 300.00",Report Taken,2024-06-05 10:00:00,Medium,32.8800218,-117.2329402
6/27/2024,6/27/2024,3:04 PM,Petty Theft,The Trove,2024-1356,"Secured bicycle stolen, loss $150.00",Online Report Filed,2024-06-27 15:04:00,Medium,,
07-01-2024,6/27/2024,10:45 AM - 2:00 PM,Petty Theft,Geisel Library,2024-1356,"bicycle parts taken from secured bicycle, loss $150.00",Report Taken,2024-06-27 14:00:00,Medium,32.881092,-117.2375659
07-01-2024,6/28/2024,Unknown,Petty Theft,Mesa Apartments Central,2407010034,"Reporting party believes young child took their scooter, child and family have moved, requesting assistance from housing",Referred to Other UCSD Department,2024-06-28 00:00:00,Medium,32.87382780000001,-117.2215649
07-03-2024,07-03-2024,4:32 PM,Petty Theft- Micro Mobility Device,Cala - 1st Floor Lobby,2407030032,"Unsecured electric scooter stolen, loss unknown, no report desired",Information Only,2024-07-03 16:32:00,Medium,,
07-04-2024,07-04-2024,6:00 AM-1:00 PM,Petty Theft - Micro Mobility Device,School of Medicine Building 1,2024-1369,Secured electric scooter stolen; loss $350.00,Disposition Report Taken,2024-07-04 13:00:00,Medium,32.8750311,-117.2341282
07-04-2024,07-03-2024,4:00 PM,Petty Theft - Bicycle,Jacobs Medical Center,LJ24-07-03-0510,"Victim's bicycle stolen from back of building, amount of loss unknown",Hospital Security Incident Report Generated,2024-07-03 16:00:00,Medium,32.8777169,-117.2262295
07-05-2024,7/4/2024 - 7/5/2024,12:00 AM - 1:15 PM,Petty Theft - Micro Mobility Device,Kaleidoscope,2024-1373,"Unsecured electric scooter stolen, loss $799.00",Online Report Filed,2024-07-05 13:15:00,Expensive,,
07-07-2024,07-07-2024,8:00 AM - 10:00 AM,Petty Theft,Stein Clinical Research Building,2024-1379,"Secured bicycle stolen, loss $150.00",Online Report Report Filed,2024-07-07 10:00:00,Medium,32.875958,-117.2340132
7/13/2024,7/13/2024,10:28 AM,Petty Theft - Micro Mobility Device,Mesa Verde Hall,2024-1415,"Secured e-scooter stolen, loss $600.00",Report Taken,2024-07-13 10:28:00,Expensive,32.8860192,-117.2414146
7/15/2024,7/11/2024 - 07/15/2024,9:45 AM - 3:30 PM,Grand Theft / Vandalism,Miramar Street,2024-1424,"Bike rack stolen off vehicle, loss $1,189.00",Report Taken,2024-07-15 15:30:00,Medium,32.8735076,-117.2238704
7/17/2024,7/16/2024,11:00 AM - 5:00 PM,Grand Theft - Micro Mobility Device,Biomedical Sciences Way,2024-1432,"Secured electric bike stolen, loss $1,200.00",Online Report,2024-07-16 17:00:00,Medium,32.8747731,-117.2366032
7/18/2024,7/18/2024,3:52 PM - 3:54 PM,Grand Theft - Micro Mobility Device / Weapons Law Violation,Design and Innovation Lane,2024-1440,"Secured electric bicycle stolen, loss $3,500.00, and suspect found in possession of 9 oz. canister of peppery spray",Transported to Hospital,2024-07-18 15:54:00,Medium,32.8792475,-117.2316562
7/18/2024,7/18/2024,12:00 PM - 4:00 PM,Petty Theft,Mayer Hall,2024-1441,"Victims's unattended headphones and scooter charger stolen from outside location, loss $400.00",Report Taken,2024-07-18 16:00:00,Medium,32.8754409,-117.239888
7/19/2024,7/19/2024,10:18 AM - 10:19 AM,Petty Theft - Micro Mobility Device,Target,2024-1445,"Secured electric scooter stolen, loss $100.00",Report Taken,2024-07-19 10:19:00,Medium,,
7/22/2024,7/22/2024,8:47 PM,Petty Theft,Geisel Library,2024-1459,"Bike seat stolen, loss $40.00",Report Taken,2024-07-22 20:47:00,Low,32.881092,-117.2375659
7/23/2024,7/23/2024,4:15 AM,Petty Theft,Mesa Apartments South,2024-1461,"Secured bicycle stolen, loss $400.00",Report Taken,2024-07-23 04:15:00,Medium,,
7/23/2024,7/23/2024,12:45 PM,Petty Theft - Micro Mobility Device,Mesa Apartments South,2024-1463,"Secured electric scooter stolen, loss $300.00",Report Taken,2024-07-23 12:45:00,Medium,,
7/28/2024,7/24/2024 - 7/27/2024,10:00 AM,Petty Theft,Trolley - Central Campus Station,2024-1489,"Unknown suspect removed rear brake pads from victim's bicycle, loss $20.00",Report Taken,2024-07-27 10:00:00,Low,32.878353,-117.231842
7/29/2024,07/28/2029 - 07/29/2024,12:09 AM - 5:00 PM,Petty Theft,Trolley- Central Campus Station,2024-1494,Secured e-scooter stolen - loss $400.00,Report Taken,2029-07-28 17:00:00,Medium,32.878353,-117.231842
7/30/2024,07/30/202,5:00 PM- 5:50 PM,Theft - Micro Mobility Device,York Hall,2024-1500,"Secured electric scooter stolen, loss $380.00",Report Taken,,Medium,32.8745478,-117.2400077
08-01-2024,07/31/2024 - 08/01/2024,8:00 PM - 9:00 AM,Petty Theft,La Jolla Del Sol Apartments,2024-1512,"Secured bicycle stolen, loss $800.00",Report Taken,2024-08-01 20:00:00,Expensive,32.8655512,-117.2230338
08-01-2024,07/31/2024 - 08/01/2024,11:00 PM - 9:00 AM,Petty Theft,Central Mesa Apartments,2024-1513,"Tire stolen from secured bicycle, loss $75.00",Report Taken,2024-08-01 23:00:00,Low,32.87382780000001,-117.2215649
08-06-2024,08/05/2024 - 08/06/2024,8:00 PM - 7:00 AM,Petty Theft- Micro Mobility Device,Douglas Apartments,2024-1536,"Secured electric scooter stolen, loss $200.00",Report Taken,2024-08-06 20:00:00,Medium,,
08-06-2024,08/05/2024 - 08/06/2024,10:00 PM - 2:30 PM,Petty Theft- Micro Mobility Device,Harlan Hall,2024-1537,"Secured electric bike stolen, loss $600.00",Report Taken,2024-08-06 22:00:00,Expensive,32.8848017,-117.2323582
